time, G_01, G_02,G_03,G_04,G_05,G_06,G_07,G_08,G_09,G_10
0.070,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
0.071,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
0.072,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
0.073,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
0.074,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
0.075,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
0.076,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
0.077,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
0.078,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
0.079,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
0.080,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
0.081,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
0.082,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
0.083,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
0.084,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
0.085,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
0.086,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
0.087,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
0.088,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
0.089,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
0.090,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
0.091,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
0.092,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
0.093,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
0.094,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
0.095,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
0.096,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
0.097,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
0.098,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
0.099,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
0.100,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
0.101,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
0.102,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
0.103,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
0.104,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
0.105,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
0.106,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
0.107,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
0.108,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
0.109,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
0.110,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
0.111,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
0.112,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
0.113,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
0.114,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
0.115,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
0.116,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
0.117,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
0.118,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
0.119,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
0.120,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
0.121,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
0.122,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
0.123,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
0.124,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
0.125,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
0.126,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
0.127,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
0.128,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
0.129,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
0.130,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
0.131,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
0.132,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
0.133,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
0.134,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
0.135,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
0.136,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
0.137,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
0.138,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
0.139,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
0.140,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
0.141,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
0.142,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
0.143,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
0.144,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
0.145,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
0.146,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
0.147,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
0.148,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
0.149,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
0.150,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
0.151,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
0.152,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
0.153,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
0.154,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
0.155,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
0.156,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
0.157,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
0.158,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
0.159,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
0.160,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
0.161,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
0.162,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
0.163,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
0.164,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
0.165,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
0.166,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
0.167,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
0.168,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
0.169,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
0.170,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
0.171,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
0.172,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
0.173,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
0.174,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
0.175,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
0.176,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
0.177,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
0.178,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
0.179,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
0.180,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
0.181,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
0.182,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
0.183,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
0.184,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
0.185,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
0.186,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
0.187,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
0.188,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
0.189,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
0.190,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
0.191,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
0.192,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
0.193,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
0.194,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
0.195,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
0.196,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
0.197,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
0.198,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
0.199,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
0.200,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
0.201,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
0.202,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
0.203,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
0.204,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
0.205,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
0.206,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
0.207,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
0.208,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
0.209,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
0.210,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
0.211,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
0.212,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
0.213,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
0.214,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
0.215,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
0.216,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
0.217,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
0.218,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
0.219,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
0.220,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
0.221,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
0.222,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
0.223,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
0.224,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
0.225,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
0.226,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
0.227,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
0.228,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
0.229,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
0.230,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
0.231,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
0.232,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
0.233,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
0.234,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
0.235,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
0.236,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
0.237,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
0.238,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
0.239,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
0.240,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
0.241,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
0.242,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
0.243,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
0.244,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
0.245,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
0.246,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
0.247,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
0.248,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
0.249,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
0.250,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
0.251,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
0.252,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
0.253,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
0.254,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
0.255,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
0.256,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
0.257,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
0.258,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
0.259,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
0.260,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
0.261,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
0.262,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
0.263,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
0.264,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
0.265,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
0.266,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
0.267,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
0.268,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
0.269,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
0.270,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
0.271,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
0.272,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
0.273,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
0.274,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
0.275,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
0.276,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
0.277,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
0.278,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
0.279,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
0.280,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
0.281,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
0.282,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
0.283,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
0.284,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
0.285,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
0.286,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
0.287,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
0.288,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
0.289,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
0.290,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
0.291,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
0.292,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
0.293,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
0.294,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
0.295,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
0.296,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
0.297,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
0.298,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
0.299,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
0.300,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
0.301,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
0.302,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
0.303,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
0.304,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
0.305,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
0.306,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
0.307,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
0.308,1000.000,520.811,650.000,632.000,508.000,650.000,560.000,540.000,830.000,250.000
